publishedAt,title,risk_score,entities,source,url,description
2025-10-31T06:10:35Z,AICWA demands probe into fake audition kidnapping case; Questions R.A. Studio’s role; Urges Government action,0,"['Mumbai (GPE)', 'R.A. Studio (ORG)', 'Urges Government (ORG)', 'Questions R.A. Studio’s (ORG)', 'Powai (GPE)']",The Times of India,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/aicwa-demands-probe-into-fake-audition-kidnapping-case-questions-r-a-studios-role-urges-government-action/articleshow/124986201.cms,"The All Indian Cine Workers Association (AICWA) has demanded an immediate investigation into a shocking kidnapping incident linked to a fake audition held at R.A. Studio in Mumbai's Powai area, where nearly 20 aspiring artists were allegedly abducted before b…"
2025-10-31T06:13:10Z,"Shakthi Thirumagan script theft allegation: I have all the proofs to validate my authorship, says Arun Prabhu",0,[],The Times of India,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/shakthi-thirumagan-script-theft-allegation-i-have-all-the-proofs-to-validate-my-authorship-says-arun-prabhu/articleshow/124986423.cms,The director clarifies that he chose not to respond earlier because he wanted to wait for an official inquiry.
2025-10-31T06:29:23Z,Studds Accessories IPO: Should you subscribe?,0,"['Studds Accessories (ORG)', ""Studds Accessories' (ORG)"", 'IPO (ORG)']",BusinessLine,https://www.thehindubusinessline.com/portfolio/stock-fundamental-analysis-india/studds-accessories-ipo-should-you-subscribe/article70224388.ece,"Discover whether to subscribe to Studds Accessories' IPO, highlighting strong margins and brand potential amid transitional challenges."
2025-10-31T06:10:06Z,Bihar’s glass half full. Half empty & still filling,0,"['Bihar (GPE)', 'India News (ORG)']",The Times of India,https://timesofindia.indiatimes.com/india/bihars-glass-half-full-half-empty-still-filling/articleshow/124985902.cms,"India News: It’s easy to be overwhelmed by grim statistics, especially when it comes to Bihar. It’s at the bottom of most development indicators when compared wit."
2025-10-31T05:57:26Z,"‘Let’s Change' programme, Rs 2 crore dues, moral demands: Why Rohit Aarrya pulled off Mumbai hostage showdown",0,['Mumbai (GPE)'],The Times of India,https://timesofindia.indiatimes.com/city/mumbai/lets-change-programme-rs-2-crore-dues-moral-demands-why-rohit-aarrya-pulled-off-mumbai-hostage-showdown/articleshow/124985191.cms,"A social entrepreneur, Rohit Aarrya, held 17 children and others hostage in a Mumbai studio after feeling betrayed by the government over his civic initiative. The standoff ended in a police shootout, with Aarrya dead and the hostages rescued. His actions ste…"
2025-10-31T05:17:28Z,China's Xi promises to protect free trade at APEC as Trump snubs major summit,0,"['China (GPE)', 'APEC (ORG)', 'Asia-Pacific (LOC)', 'U.S. (GPE)', 'Trump (ORG)']",ABC News,https://abcnews.go.com/Business/wireStory/chinas-xi-promises-protect-free-trade-apec-trump-127042960,Chinese leader Xi Jinping told Asia-Pacific leaders his country would help to defend global free trade as U.S. President Donald Trump snubbed an annual economic regional forum
2025-10-31T05:17:26Z,China's Xi promises to protect free trade at APEC as Trump snubs major summit,0,"['China (GPE)', 'APEC (ORG)', 'Asia-Pacific (LOC)', 'U.S. (GPE)', 'Trump (ORG)']",ABC News,https://abcnews.go.com/International/wireStory/chinas-xi-promises-protect-free-trade-apec-trump-127042958,Chinese leader Xi Jinping told Asia-Pacific leaders his country would help to defend global free trade as U.S. President Donald Trump snubbed an annual economic regional forum
2025-10-31T05:59:23Z,US-China find temporary truce: What it means for India and global markets,0,"['China (GPE)', 'US (GPE)', 'India (GPE)']",The Times of India,https://economictimes.indiatimes.com/markets/expert-view/us-china-find-temporary-truce-what-it-means-for-india-and-global-markets/articleshow/124986167.cms,"A recent US-China meeting signals a pause in trade tensions, with experts noting a shift in power dynamics. While not a clear win for the US, the outcome suggests ongoing concessions and a move towards negotiation as equals. This development could impact Indi…"
2025-10-31T05:15:00Z,Italy’s FORZA10 turns invasive blue crab into sustainable cat food with a patriotic twist,0,"['Italy (GPE)', 'FIL BLU (ORG)', 'Adriatic Sea (LOC)']",Trendwatching.com,https://www.trendwatching.com/innovations/italys-forza10-turns-invasive-blue-crab-into-sustainable-cat-food-with-a-patriotic-twist,"Italian pet food company FORZA10 has launched FIL BLU, a wet cat food that transforms an environmental crisis into a gourmet meal. The product features blue crab, an invasive North American species that has colonized Italy's Adriatic Sea, devastating local ma…"
2025-10-31T05:09:24Z,Apple announces record revenue in India in September quarter,0,"['Apple (ORG)', 'India (GPE)']",BusinessLine,https://www.thehindubusinessline.com/info-tech/apple-announces-record-revenue-in-india-in-september-quarter/article70224283.ece,"Overall, the company reported a quarterly revenue of $102.5 billion, a growth of 8 per cent annually and 8.9 per cent sequentially"
